"Store No.","Date","Time","Millisecond","V-1","A-1","W-1","VA-1","var-1","PF-1","deg-1","VHz-1","AHz-1","Wh-1","Wh+-1","TIME"
1,  2023/05/12,10:49:34,691,  221.08 ,   5.509 , 1.1972E+03, 1.2180E+03, 0.2241E+03,  0.9829 ,G   10.6 ,  59.994 ,   Error , 166.06E-03, 166.09E-03,     0:00:00
2,  2023/05/12,10:49:34,929,  220.81 ,   5.486 , 1.1916E+03, 1.2113E+03, 0.2174E+03,  0.9838 ,G   10.3 ,  59.996 ,   Error , 249.03E-03, 249.08E-03,     0:00:00
3,  2023/05/12,10:49:35,187,  221.21 ,   5.504 , 1.1960E+03, 1.2177E+03, 0.2288E+03,  0.9822 ,G   10.8 ,  59.990 ,   Error , 331.97E-03, 332.04E-03,     0:00:01
4,  2023/05/12,10:49:35,427,  221.43 ,   5.506 , 1.1983E+03, 1.2193E+03, 0.2249E+03,  0.9828 ,G   10.6 ,  59.998 ,   Error , 415.09E-03, 415.18E-03,     0:00:01
5,  2023/05/12,10:49:35,677,  220.71 ,   5.490 , 1.1923E+03, 1.2118E+03, 0.2166E+03,  0.9839 ,G   10.3 ,  59.996 ,   Error , 498.06E-03, 498.16E-03,     0:00:01
6,  2023/05/12,10:49:35,927,  221.02 ,   5.499 , 1.1940E+03, 1.2155E+03, 0.2276E+03,  0.9823 ,G   10.8 ,  59.996 ,   Error , 580.94E-03, 581.05E-03,     0:00:01
7,  2023/05/12,10:49:36,177,  221.34 ,   5.508 , 1.1987E+03, 1.2192E+03, 0.2227E+03,  0.9832 ,G   10.5 ,  59.996 ,   Error , 664.03E-03, 664.16E-03,     0:00:02
8,  2023/05/12,10:49:36,417,  220.70 ,   5.497 , 1.1935E+03, 1.2131E+03, 0.2173E+03,  0.9838 ,G   10.3 ,  60.000 ,   Error , 747.01E-03, 747.16E-03,     0:00:02
9,  2023/05/12,10:49:36,687,  220.33 ,   5.494 , 1.1902E+03, 1.2104E+03, 0.2203E+03,  0.9833 ,G   10.5 ,  59.996 ,   Error , 829.73E-03, 829.89E-03,     0:00:02
10,  2023/05/12,10:49:36,937,  220.74 ,   5.517 , 1.1976E+03, 1.2178E+03, 0.2204E+03,  0.9835 ,G   10.4 ,  60.000 ,   Error , 912.75E-03, 912.93E-03,     0:00:02
11,  2023/05/12,10:49:37,167,  220.55 ,   5.512 , 1.1958E+03, 1.2158E+03, 0.2194E+03,  0.9836 ,G   10.4 ,  59.998 ,   Error , 995.82E-03, 996.01E-03,     0:00:03
