221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
+1.655274E-01,+8.690280E-02,+2.672800E+01,+2.436000E+01,+1.963100E+01,+3.222000E+01,+2.362000E+01,+2.045200E+01
+1.567451E-01,+8.381004E-02,+2.673200E+01,+2.436700E+01,+1.960800E+01,+3.224500E+01,+2.364600E+01,+2.041300E+01
+1.677827E-01,+9.125887E-02,+2.673100E+01,+2.437600E+01,+1.957400E+01,+3.226600E+01,+2.367000E+01,+2.037600E+01
+1.400834E-01,+1.132217E-01,+2.673100E+01,+2.439100E+01,+1.954200E+01,+3.229000E+01,+2.370000E+01,+2.034300E+01
+6.746191E-02,+6.131691E-01,+2.672500E+01,+2.440100E+01,+1.950200E+01,+3.231700E+01,+2.372600E+01,+2.030400E+01
+1.475370E-01,+6.643893E-01,+2.672400E+01,+2.441800E+01,+1.946600E+01,+3.234100E+01,+2.375500E+01,+2.027100E+01
+1.490903E-01,+6.662889E-01,+2.671700E+01,+2.443600E+01,+1.941800E+01,+3.236200E+01,+2.378300E+01,+2.023500E+01
+1.511070E-01,+6.678517E-01,+2.671900E+01,+2.444800E+01,+1.936600E+01,+3.239300E+01,+2.381400E+01,+2.020100E+01
+1.522907E-01,+6.721703E-01,+2.672100E+01,+2.445200E+01,+1.930700E+01,+3.241900E+01,+2.384600E+01,+2.016600E+01
+1.445424E-01,+9.341664E-01,+2.671000E+01,+2.443200E+01,+1.921900E+01,+3.244800E+01,+2.387300E+01,+2.013200E+01
+1.549624E-01,+1.052955E+00,+2.670500E+01,+2.439500E+01,+1.911100E+01,+3.248100E+01,+2.390700E+01,+2.010100E+01
+1.547752E-01,+1.054293E+00,+2.670400E+01,+2.432700E+01,+1.897000E+01,+3.251500E+01,+2.393700E+01,+2.006600E+01
+1.506578E-01,+1.051191E+00,+2.670700E+01,+2.423000E+01,+1.881100E+01,+3.254900E+01,+2.397100E+01,+2.003800E+01
+1.479581E-01,+1.047466E+00,+2.669500E+01,+2.412000E+01,+1.863300E+01,+3.258300E+01,+2.400300E+01,+2.000100E+01
+1.473077E-01,+1.048079E+00,+2.668600E+01,+2.398200E+01,+1.843900E+01,+3.262100E+01,+2.403500E+01,+1.997500E+01
+1.525621E-01,+1.053844E+00,+2.668300E+01,+2.383900E+01,+1.824500E+01,+3.265300E+01,+2.406500E+01,+1.994600E+01
+1.527586E-01,+1.055977E+00,+2.667700E+01,+2.366700E+01,+1.804100E+01,+3.269300E+01,+2.409400E+01,+1.991800E+01
+1.304729E-01,+1.288842E+00,+2.666900E+01,+2.348700E+01,+1.783200E+01,+3.273400E+01,+2.413000E+01,+1.989200E+01
+4.518556E-02,+1.549947E+00,+2.667000E+01,+2.328800E+01,+1.761700E+01,+3.277200E+01,+2.416700E+01,+1.987500E+01
+1.317409E-01,+1.663672E+00,+2.665700E+01,+2.307000E+01,+1.741000E+01,+3.281100E+01,+2.419900E+01,+1.984400E+01
-3.736934E-02,+2.082175E+00,+2.665200E+01,+2.283300E+01,+1.720600E+01,+3.285300E+01,+2.423100E+01,+1.982200E+01
+7.610855E-02,+2.107234E+00,+2.665200E+01,+2.258400E+01,+1.702100E+01,+3.289400E+01,+2.426800E+01,+1.980400E+01
+6.414923E-02,+2.103487E+00,+2.664500E+01,+2.233300E+01,+1.685500E+01,+3.293400E+01,+2.429900E+01,+1.978500E+01
+7.972068E-02,+2.202644E+00,+2.664100E+01,+2.209000E+01,+1.670300E+01,+3.298100E+01,+2.433400E+01,+1.976300E+01
+6.973585E-02,+2.299319E+00,+2.663400E+01,+2.184200E+01,+1.656900E+01,+3.302300E+01,+2.436700E+01,+1.973800E+01
+7.467210E-02,+2.291310E+00,+2.663500E+01,+2.160400E+01,+1.644700E+01,+3.306600E+01,+2.440300E+01,+1.971800E+01
+7.140623E-02,+2.314823E+00,+2.662300E+01,+2.136200E+01,+1.632200E+01,+3.311700E+01,+2.443300E+01,+1.969700E+01
-1.510079E-03,+2.708643E+00,+2.662400E+01,+2.112700E+01,+1.620400E+01,+3.316000E+01,+2.446800E+01,+1.967000E+01
+4.589208E-02,+2.753514E+00,+2.662000E+01,+2.090000E+01,+1.609200E+01,+3.320500E+01,+2.449900E+01,+1.964800E+01
+3.739050E-02,+2.737027E+00,+2.661200E+01,+2.067500E+01,+1.598700E+01,+3.325000E+01,+2.452800E+01,+1.962400E+01
+3.827480E-02,+2.752015E+00,+2.661100E+01,+2.046400E+01,+1.590000E+01,+3.329300E+01,+2.455400E+01,+1.960100E+01
+3.903748E-02,+2.744708E+00,+2.660500E+01,+2.025400E+01,+1.580400E+01,+3.334000E+01,+2.458700E+01,+1.957300E+01
+3.546273E-02,+2.740165E+00,+2.660800E+01,+2.006400E+01,+1.572400E+01,+3.338500E+01,+2.461100E+01,+1.955000E+01
+3.574347E-02,+2.741523E+00,+2.660000E+01,+1.986100E+01,+1.564100E+01,+3.343600E+01,+2.463900E+01,+1.952200E+01
+3.677755E-02,+2.741523E+00,+2.660400E+01,+1.967700E+01,+1.556000E+01,+3.348800E+01,+2.465900E+01,+1.950600E+01
+3.247290E-02,+2.751500E+00,+2.660200E+01,+1.950200E+01,+1.547900E+01,+3.353000E+01,+2.468100E+01,+1.947400E+01
+3.757765E-02,+2.742835E+00,+2.659400E+01,+1.933000E+01,+1.539800E+01,+3.357400E+01,+2.470200E+01,+1.945700E+01
+3.867720E-02,+2.739603E+00,+2.659400E+01,+1.915800E+01,+1.532500E+01,+3.362300E+01,+2.472100E+01,+1.942200E+01
+3.842453E-02,+2.742788E+00,+2.659400E+01,+1.900200E+01,+1.525000E+01,+3.366900E+01,+2.473900E+01,+1.940000E+01
+3.661379E-02,+2.760868E+00,+2.658600E+01,+1.884900E+01,+1.518200E+01,+3.371500E+01,+2.475600E+01,+1.937600E+01
+3.527090E-02,+2.745130E+00,+2.658400E+01,+1.870500E+01,+1.510200E+01,+3.376200E+01,+2.477200E+01,+1.935400E+01
+3.619264E-02,+2.753514E+00,+2.658400E+01,+1.856900E+01,+1.503900E+01,+3.380800E+01,+2.478700E+01,+1.932800E+01
+3.601015E-02,+2.756652E+00,+2.657600E+01,+1.843600E+01,+1.497200E+01,+3.385100E+01,+2.479900E+01,+1.930500E+01
+3.515392E-02,+2.753373E+00,+2.658100E+01,+1.830900E+01,+1.491200E+01,+3.389500E+01,+2.480800E+01,+1.928100E+01
+3.523346E-02,+2.752062E+00,+2.658000E+01,+1.819000E+01,+1.485600E+01,+3.393500E+01,+2.482200E+01,+1.925900E+01
+3.739050E-02,+2.745879E+00,+2.657600E+01,+1.808000E+01,+1.480000E+01,+3.397900E+01,+2.483300E+01,+1.923700E+01
+3.890647E-02,+2.760071E+00,+2.656800E+01,+1.796900E+01,+1.475600E+01,+3.402100E+01,+2.483700E+01,+1.921000E+01
