221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
+1.427738E-01,+4.453175E-01,+2.663700E+01,+2.605600E+01,+2.037300E+01,+3.504300E+01,+2.387200E+01,+2.091400E+01
+1.522252E-01,+4.471470E-01,+2.664300E+01,+2.606600E+01,+2.037300E+01,+3.504100E+01,+2.388300E+01,+2.091300E+01
+1.512520E-01,+4.461691E-01,+2.664200E+01,+2.608200E+01,+2.037500E+01,+3.503600E+01,+2.389300E+01,+2.091200E+01
+1.832137E-01,+1.914673E-01,+2.664000E+01,+2.609200E+01,+2.038300E+01,+3.503000E+01,+2.390100E+01,+2.091400E+01
+1.902461E-01,+9.727131E-02,+2.663500E+01,+2.610500E+01,+2.038700E+01,+3.502900E+01,+2.391000E+01,+2.091400E+01
+1.918697E-01,+1.001254E-01,+2.663900E+01,+2.611600E+01,+2.039300E+01,+3.502200E+01,+2.391800E+01,+2.091900E+01
+1.885617E-01,+9.683149E-02,+2.663800E+01,+2.612600E+01,+2.039700E+01,+3.502100E+01,+2.392700E+01,+2.091800E+01
+1.895630E-01,+9.818836E-02,+2.663700E+01,+2.613700E+01,+2.040300E+01,+3.501600E+01,+2.393300E+01,+2.091200E+01
+1.904473E-01,+9.867965E-02,+2.663800E+01,+2.614400E+01,+2.040400E+01,+3.501400E+01,+2.394200E+01,+2.090800E+01
+1.888612E-01,+9.747249E-02,+2.663700E+01,+2.615500E+01,+2.040300E+01,+3.501300E+01,+2.394800E+01,+2.089900E+01
+1.905128E-01,+9.759415E-02,+2.663600E+01,+2.616100E+01,+2.040000E+01,+3.501000E+01,+2.395600E+01,+2.089600E+01
+1.878552E-01,+9.713562E-02,+2.663700E+01,+2.617000E+01,+2.039700E+01,+3.500500E+01,+2.396400E+01,+2.089000E+01
+1.888518E-01,+9.787021E-02,+2.663600E+01,+2.617600E+01,+2.039700E+01,+3.500800E+01,+2.397100E+01,+2.088700E+01
+1.883278E-01,+9.724322E-02,+2.663500E+01,+2.618400E+01,+2.039600E+01,+3.500600E+01,+2.397700E+01,+2.088500E+01
+1.909807E-01,+9.927388E-02,+2.663200E+01,+2.618900E+01,+2.039400E+01,+3.500100E+01,+2.398300E+01,+2.088300E+01
