"Store No.","Date","Time","Millisecond","V-1","A-1","W-1","VA-1","var-1","PF-1","deg-1","VHz-1","AHz-1","Wh-1","Wh+-1","TIME"
1,  2023/06/16,11:11:56,539,  220.10 ,   3.619 , 0.7870E+03, 0.7965E+03, 0.1227E+03,  0.9881 ,G    8.9 ,  59.972 ,   Error , 109.20E-03, 109.21E-03,     0:00:00
2,  2023/06/16,11:11:56,779,  220.19 ,   3.614 , 0.7861E+03, 0.7958E+03, 0.1241E+03,  0.9878 ,G    9.0 ,  59.968 ,   Error , 163.87E-03, 163.88E-03,     0:00:00
3,  2023/06/16,11:11:57, 39,  220.25 ,   3.623 , 0.7881E+03, 0.7979E+03, 0.1248E+03,  0.9877 ,G    9.0 ,  59.970 ,   Error , 218.46E-03, 218.47E-03,     0:00:01
4,  2023/06/16,11:11:57,279,  220.04 ,   3.610 , 0.7848E+03, 0.7945E+03, 0.1232E+03,  0.9879 ,G    8.9 ,  59.968 ,   Error , 273.15E-03, 273.16E-03,     0:00:01
5,  2023/06/16,11:11:57,539,  220.34 ,   3.624 , 0.7886E+03, 0.7985E+03, 0.1254E+03,  0.9876 ,G    9.0 ,  59.970 ,   Error , 327.72E-03, 327.74E-03,     0:00:01
6,  2023/06/16,11:11:57,779,  219.98 ,   3.613 , 0.7853E+03, 0.7947E+03, 0.1220E+03,  0.9881 ,G    8.8 ,  59.968 ,   Error , 382.44E-03, 382.46E-03,     0:00:01
7,  2023/06/16,11:11:58, 39,  220.31 ,   3.621 , 0.7878E+03, 0.7978E+03, 0.1262E+03,  0.9874 ,G    9.1 ,  59.968 ,   Error , 437.02E-03, 437.04E-03,     0:00:02
8,  2023/06/16,11:11:58,299,  219.99 ,   3.616 , 0.7860E+03, 0.7954E+03, 0.1221E+03,  0.9882 ,G    8.8 ,  59.968 ,   Error , 491.67E-03, 491.70E-03,     0:00:02
9,  2023/06/16,11:11:58,539,  220.24 ,   3.617 , 0.7867E+03, 0.7966E+03, 0.1252E+03,  0.9876 ,G    9.0 ,  59.966 ,   Error , 546.35E-03, 546.37E-03,     0:00:02
10,  2023/06/16,11:11:58,779,  220.17 ,   3.622 , 0.7877E+03, 0.7974E+03, 0.1241E+03,  0.9878 ,G    9.0 ,  59.970 ,   Error , 600.96E-03, 600.99E-03,     0:00:02
