221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-7.494411E-03,+1.954352E+00,+2.676500E+01,+1.615100E+01,+1.455400E+01,+3.516100E+01,+2.404100E+01,+1.956400E+01
-4.621573E-03,+1.963299E+00,+2.676400E+01,+1.615100E+01,+1.454900E+01,+3.516100E+01,+2.404400E+01,+1.956600E+01
-8.252405E-03,+1.952151E+00,+2.675600E+01,+1.614700E+01,+1.454500E+01,+3.516100E+01,+2.404300E+01,+1.956700E+01
-5.459086E-03,+1.952245E+00,+2.676700E+01,+1.615100E+01,+1.454400E+01,+3.516100E+01,+2.404100E+01,+1.956700E+01
-7.751766E-03,+1.960067E+00,+2.676800E+01,+1.615500E+01,+1.454800E+01,+3.516500E+01,+2.403900E+01,+1.957200E+01
-5.445053E-03,+1.956882E+00,+2.676500E+01,+1.615500E+01,+1.454700E+01,+3.516500E+01,+2.403000E+01,+1.957400E+01
-9.356623E-03,+1.963299E+00,+2.677000E+01,+1.615700E+01,+1.454900E+01,+3.516000E+01,+2.402000E+01,+1.957800E+01
-3.208529E-03,+1.963439E+00,+2.677100E+01,+1.615500E+01,+1.454900E+01,+3.516100E+01,+2.400400E+01,+1.957700E+01
-5.664971E-03,+1.961659E+00,+2.677200E+01,+1.615700E+01,+1.455100E+01,+3.515600E+01,+2.398800E+01,+1.957800E+01
-4.509281E-03,+1.964704E+00,+2.677000E+01,+1.615800E+01,+1.454700E+01,+3.514700E+01,+2.396500E+01,+1.957800E+01
-5.239187E-03,+1.968873E+00,+2.676200E+01,+1.615500E+01,+1.455000E+01,+3.513800E+01,+2.394300E+01,+1.957600E+01
-4.687078E-03,+1.956554E+00,+2.676700E+01,+1.615900E+01,+1.455000E+01,+3.513100E+01,+2.391400E+01,+1.957500E+01
-3.891667E-03,+1.960957E+00,+2.677000E+01,+1.615900E+01,+1.455000E+01,+3.512200E+01,+2.388200E+01,+1.957200E+01
-5.519926E-03,+1.964376E+00,+2.677200E+01,+1.615700E+01,+1.454700E+01,+3.510400E+01,+2.385100E+01,+1.957000E+01
-8.018452E-03,+1.973041E+00,+2.678000E+01,+1.616100E+01,+1.454300E+01,+3.509100E+01,+2.381200E+01,+1.956600E+01
